A	Pl	Masc.Fem.Neut	Dat	A	2	3/10/2005 12:21:50	3/10/2005 12:22:4		0
ABC	Sg	Neut	Nom	ABC	237	3/10/2005 11:44:23	3/10/2005 13:43:27		1
Abbau	Sg	Masc.Neut	Dat	Abbau	2	3/10/2005 12:6:56	3/10/2005 12:7:10		2
Abbaustelle	Sg	Fem	Gen	Abbaustelle	2	3/10/2005 13:33:22	3/10/2005 13:33:40		3
Abc	Sg	Neut	Nom.Dat	Abc	174	3/10/2005 11:59:0	3/10/2005 13:40:35		4
Abend	Sg	Masc.Fem.Neut	Akk	Abend	5	3/10/2005 12:0:6	3/10/2005 13:16:46		5
Abendbereich	Sg	Masc.Neut	Dat	Abendbereich	4	3/10/2005 11:57:59	3/10/2005 11:58:14		6
Abendblatts	Sg	Masc.Fem.Neut	Nom	Abendblatts.Abendblatt	4	3/10/2005 11:56:9	3/10/2005 11:57:15		7
Abgrund	Sg	Masc.Neut	Akk.Dat	Abgrund	4	3/10/2005 11:57:58	3/10/2005 11:58:13		8
Abkürzung	Sg	Masc.Fem.Neut	Nom	Abkürzung	2	3/10/2005 12:12:34	3/10/2005 12:12:50		9
Ablativ	Sg	Masc.Fem	Nom.Akk	Ablativ	4	3/10/2005 12:12:34	3/10/2005 12:12:50		10
Ableben	Sg	Neut	Akk	Ableben.Ablebe.Ableb	2	3/10/2005 12:3:9	3/10/2005 12:3:29		11
Ableitung	Sg	Fem	Nom.Dat	Ableitung	4	3/10/2005 12:14:39	3/10/2005 12:14:57		12
Ableitungen	Pl	Masc.Fem.Neut	Nom	Ableitung	2	3/10/2005 13:40:19	3/10/2005 13:40:35		13
Abonnement	Sg	Neut	Akk	Abonnement	2	3/10/2005 12:31:21	3/10/2005 12:31:25		14
Absatz	Sg	Masc.Neut	Dat	Absatz	1	3/10/2005 11:48:7	3/10/2005 11:48:7		15
Abschieds	Sg	Masc.Neut	Nom	Abschieds.Abschied	2	3/10/2005 12:30:37	3/10/2005 12:30:42		16
Absicht	Sg	Masc.Fem.Neut	Akk	Absicht	1	3/10/2005 13:16:46	3/10/2005 13:16:46		17
Abstammung	Sg	Masc.Fem.Neut	Nom	Abstammung	2	3/10/2005 13:41:55	3/10/2005 13:42:11		18
Abstimmung	Sg	Fem	Akk.Dat	Abstimmung	8	3/10/2005 13:41:55	3/10/2005 13:42:11		19
Abwasch	Sg	Masc	Akk	Abwasch	1	3/10/2005 11:50:6	3/10/2005 11:50:6		20
Abwechslung	Sg	Fem	Dat	Abwechslung	2	3/10/2005 11:57:59	3/10/2005 11:58:12		21
Achttagewoche	Sg	Fem	Dat	Achttagewoche	2	3/10/2005 11:55:16	3/10/2005 11:55:29		22
Achtzigern	Pl	Masc.Fem.Neut	Dat	Achtziger.Achtzige.Achtzig	2	3/10/2005 12:0:5	3/10/2005 12:0:22		23
Adjektiv	Sg	Neut	Nom.Akk	Adjektiv	17	3/10/2005 12:24:53	3/10/2005 13:35:54		24
Adressaten	Sg	Masc.Fem.Neut	Akk	Adressaten.Adressate.Adressat	2	3/10/2005 12:10:33	3/10/2005 12:10:49		25
Adresse	Sg	Fem	Dat	Adresse	2	3/10/2005 13:39:30	3/10/2005 13:39:47		26
Adverb	Sg	Neut	Nom.Akk.Dat	Adverb	8	3/10/2005 12:49:22	3/10/2005 13:38:8		27
Agrarerzeugers	Sg	Masc.Neut	Gen	Agrarerzeuger	2	3/10/2005 12:1:1	3/10/2005 12:1:20		28
Agrarökonom	Sg	Masc.Fem.Neut	Nom	Agrarökonom	2	3/10/2005 12:1:1	3/10/2005 12:1:20		29
Akkusativ	Sg	Masc.Fem	Nom.Akk.Dat	Akkusativ	21	3/10/2005 12:6:55	3/10/2005 13:0:43		30
Akronym	Sg	Masc.Neut	Nom	Akronym	2	3/10/2005 12:12:34	3/10/2005 12:12:50		31
Akten	Pl	Masc.Fem.Neut	Dat	Akte.Akt	1	3/10/2005 12:58:59	3/10/2005 12:58:59		32
Akzent	Sg	Masc.Neut	Nom	Akzent	2	3/10/2005 12:5:47	3/10/2005 12:6:5		33
Albtraum	Sg	Masc.Fem.Neut	Akk	Albtraum	2	3/10/2005 12:16:18	3/10/2005 12:16:31		34
Allgemeinen	Sg	Masc.Neut	Dat	Allgemeinen.Allgemeine.Allgemein	7	3/10/2005 11:46:49	3/10/2005 13:3:48		35
Alltagssprache	Sg	Masc.Fem	Nom	Alltagssprache	1	3/10/2005 13:20:41	3/10/2005 13:20:41		36
Alpdruck	Sg	Masc.Fem.Neut	Akk	Alpdruck	2	3/10/2005 12:16:17	3/10/2005 12:16:31		37
Alpdrücken	Sg	Masc.Fem.Neut	Nom	Alpdrücken.Alpdrücke.Alpdrück	2	3/10/2005 12:16:17	3/10/2005 12:16:31		38
Alpen	Pl	Masc.Fem.Neut	Dat	Alpe.Alp	2	3/10/2005 12:16:17	3/10/2005 12:16:31		39
Alster	Pl	Masc.Fem.Neut	Dat	Alster	2	3/10/2005 12:9:32	3/10/2005 12:9:49		40
Alt	Sg	Masc.Neut	Akk	Alt	2	3/10/2005 12:6:55	3/10/2005 12:7:9		41
Alter	Sg	Masc.Neut	Dat	Alt	10	3/10/2005 11:51:8	3/10/2005 13:32:2		42
Althochdeutschen	Sg	Masc.Neut	Dat	Althochdeutschen.Althochdeutsche.Althochdeutsch	2	3/10/2005 13:33:22	3/10/2005 13:33:40		43
Altstadt	Sg	Fem	Dat	Altstadt	2	3/10/2005 12:6:55	3/10/2005 12:7:9		44
Amerikaner	Pl	Masc.Fem.Neut	Nom	Amerikaner.Amerikane.Amerikan	2	3/10/2005 13:41:55	3/10/2005 13:42:11		45
Amerikanern	Pl	Masc.Fem.Neut	Dat	Amerikaner.Amerikane.Amerikan	2	3/10/2005 11:48:8	3/10/2005 12:54:57		46
Amis	Pl	Masc.Fem.Neut	Dat	Ami	1	3/10/2005 12:54:57	3/10/2005 12:54:57		47
Ampelausfall	Sg	Masc.Neut	Nom	Ampelausfall	1	3/10/2005 12:58:59	3/10/2005 12:58:59		48
Amt	Sg	Masc.Neut	Akk.Dat	Amt	2	3/10/2005 11:50:6	3/10/2005 11:50:6		49
Amtsgericht	Sg	Masc.Neut	Dat	Amtsgericht	2	3/10/2005 11:57:59	3/10/2005 11:58:12		50
Anblick	Sg	Masc.Neut	Dat	Anblick	3	3/10/2005 12:34:23	3/10/2005 13:0:43		51
Anfang	Sg	Masc.Neut	Dat	Anfang	2	3/10/2005 12:28:56	3/10/2005 12:29:2		52
Anfassen	Sg	Masc.Neut	Dat	Anfassen.Anfasse.Anfass	1	3/10/2005 12:35:57	3/10/2005 12:35:57		53
Anführungszeichen	Pl	Masc.Fem.Neut	Nom	Anführungszeiche.Anfuhrungszeiche.Anführungszeich.Anfuhrungszeich	2	3/10/2005 12:8:41	3/10/2005 12:8:55		54
Angebot	Sg	Masc.Neut	Nom.Akk	Angebot	4	3/10/2005 11:57:2	3/10/2005 11:59:16		55
Angehörigen	Sg.Pl	Masc.Neut	Dat.Gen	Angehörige.Angehorige.Angehörig.Angehorig.Angehörigen	3	3/10/2005 12:50:6	3/10/2005 13:32:2		56
Angeklagte	Sg	Masc.Fem	Nom	Angeklagte	1	3/10/2005 11:49:10	3/10/2005 11:49:10		57
Angeklagten	Sg	Masc.Neut	Gen	Angeklagten.Angeklagt	2	3/10/2005 12:45:23	3/10/2005 12:45:26		58
Angesichte	Sg	Masc.Neut	Dat	Angesichte	2	3/10/2005 12:7:54	3/10/2005 12:8:7		59
Angesprochene	Sg	Masc.Fem	Nom	Angesprochene	1	3/10/2005 12:53:21	3/10/2005 12:53:21		60
Angestellten	Sg	Masc.Fem.Neut	Akk	Angestellten.Angestellte.Angestellt	1	3/10/2005 13:27:2	3/10/2005 13:27:2		61
Anglizismus	Sg	Masc	Nom.Akk	Anglizismus.Anglizismu	7	3/10/2005 12:6:55	3/10/2005 13:16:46		62
Angriff	Pl	Masc.Fem.Neut	Dat	Angriff	1	3/10/2005 11:48:6	3/10/2005 11:48:6		63
Angst	Sg	Fem	Dat	Angst	6	3/10/2005 11:45:5	3/10/2005 12:18:4		64
